"product_type","year","month","export_volume"
"Fruits, prepared or preserved","2018","november",46.2793
"Fruits, prepared or preserved","2018","december",43.6247
"Fruit juices","2018","january",47.5646
"Fruit juices","2018","february",45.2457
"Fruit juices","2018","march",58.2504
"Fruit juices","2018","april",51.5485
"Fruit juices","2018","may",51.1371
"Fruit juices","2018","june",55.1373
"Fruit juices","2018","july",48.0213
"Fruit juices","2018","august",44.4243
"Fruit juices","2018","september",47.4055
"Fruit juices","2018","october",44.6031
"Fruit juices","2018","november",45.8458
"Fruit juices","2018","december",42.461
"Vegetables, fresh","2018","january",190.649
"Vegetables, fresh","2018","february",184.1345
"Vegetables, fresh","2018","march",210.2964
"Vegetables, fresh","2018","april",208.3506
"Vegetables, fresh","2018","may",239.7919
"Vegetables, fresh","2018","june",233.003
"Vegetables, fresh","2018","july",196.7951
"Vegetables, fresh","2018","august",177.887
"Vegetables, fresh","2018","september",174.3935
"Vegetables, fresh","2018","october",189.793
"Vegetables, fresh","2018","november",207.0475
"Vegetables, fresh","2018","december",213.7621
"Vegetables, prepared or preserved","2018","january",190.1895
"Vegetables, prepared or preserved","2018","february",196.5591
"Vegetables, prepared or preserved","2018","march",229.5036
"Vegetables, prepared or preserved","2018","april",234.2628
"Vegetables, prepared or preserved","2018","may",237.8007
"Vegetables, prepared or preserved","2018","june",216.2109
"Vegetables, prepared or preserved","2018","july",200.0684
"Vegetables, prepared or preserved","2018","august",200.9533
"Vegetables, prepared or preserved","2018","september",207.7332
"Vegetables, prepared or preserved","2018","october",215.1764
"Vegetables, prepared or preserved","2018","november",230.6654
"Vegetables, prepared or preserved","2018","december",242.0963
"Nuts & preparations","2018","january",137.2996
"Nuts & preparations","2018","february",154.6352
"Nuts & preparations","2018","march",166.8057
"Nuts & preparations","2018","april",136.9894
"Nuts & preparations","2018","may",122.7452
"Nuts & preparations","2018","june",111.5922
"Nuts & preparations","2018","july",106.5863
"Nuts & preparations","2018","august",103.5289
"Nuts & preparations","2018","september",126.814
"Nuts & preparations","2018","october",206.0846
"Nuts & preparations","2018","november",247.8701
"Nuts & preparations","2018","december",192.8902
"Cotton & linters","2018","january",359.6655
"Cotton & linters","2018","february",433.1098
"Cotton & linters","2018","march",509.4476
"Cotton & linters","2018","april",480.3702
"Cotton & linters","2018","may",434.7297
"Cotton & linters","2018","june",311.307
"Cotton & linters","2018","july",237.3773
"Cotton & linters","2018","august",178.6088
"Cotton & linters","2018","september",156.1482
"Cotton & linters","2018","october",133.2588
"Cotton & linters","2018","november",149.8868
"Cotton & linters","2018","december",213.1728
"Major bulk","2018","january",12631.6212
"Major bulk","2018","february",10876.4547
"Major bulk","2018","march",13728.389
"Major bulk","2018","april",13320.7305
"Major bulk","2018","may",13531.9827
"Major bulk","2018","june",12469.4493
"Major bulk","2018","july",12529.5931
"Major bulk","2018","august",11953.5031
"Major bulk","2018","september",10746.711
"Major bulk","2018","october",13633.4878
"Major bulk","2018","november",12658.7224
"Major bulk","2018","december",11408.2733
