"product_type","year","month","import_volume"
"Cocoa & products","2018","april",129.7312
"Cocoa & products","2018","may",111.7484
"Cocoa & products","2018","june",93.5237
"Cocoa & products","2018","july",104.4121
"Cocoa & products","2018","august",111.0904
"Cocoa & products","2018","september",91.9879
"Cocoa & products","2018","october",105.1602
"Cocoa & products","2018","november",98.9326
"Cocoa & products","2018","december",108.4369
"Coffee & products","2018","january",125.5246
"Coffee & products","2018","february",136.9736
"Coffee & products","2018","march",144.2923
"Coffee & products","2018","april",142.7844
"Coffee & products","2018","may",152.7946
"Coffee & products","2018","june",135.3575
"Coffee & products","2018","july",134.9035
"Coffee & products","2018","august",132.6184
"Coffee & products","2018","september",120.5972
"Coffee & products","2018","october",139.6935
"Coffee & products","2018","november",136.6903
"Coffee & products","2018","december",141.1857
