"product","country","year","month","value"
"vegetables, prepared or preserved","Thailand","2018","november",12.135
"vegetables, prepared or preserved","India","2018","november",7.807
"vegetables, prepared or preserved","Turkey","2018","november",7.762
"vegetables, prepared or preserved","Chile","2018","november",5.162
"vegetables, prepared or preserved","Japan","2018","november",4.744
"vegetables, prepared or preserved","World","2018","november",294.819
"vegetables, prepared or preserved","European Union-28 3/","2018","december",91.061
"vegetables, prepared or preserved","China","2018","december",66.313
"vegetables, prepared or preserved","Mexico","2018","december",35.36
"vegetables, prepared or preserved","Canada","2018","december",33.484
"vegetables, prepared or preserved","Peru","2018","december",20.765
"vegetables, prepared or preserved","Thailand","2018","december",14.69
"vegetables, prepared or preserved","India","2018","december",6.672
"vegetables, prepared or preserved","Turkey","2018","december",9.02
"vegetables, prepared or preserved","Chile","2018","december",3.846
"vegetables, prepared or preserved","Japan","2018","december",4.208
"vegetables, prepared or preserved","World","2018","december",324.108
