"product","country","year","month","value"
"fruits, fresh or frozen","Peru","2018","october",112.796
"fruits, fresh or frozen","Canada","2018","october",61.351
"fruits, fresh or frozen","Ecuador","2018","october",30.563
"fruits, fresh or frozen","Honduras","2018","october",28.147
"fruits, fresh or frozen","Colombia","2018","october",21.533
"fruits, fresh or frozen","New Zealand","2018","october",9.063
"fruits, fresh or frozen","World","2018","october",1037.198
"fruits, fresh or frozen","Mexico","2018","november",473.593
"fruits, fresh or frozen","Chile","2018","november",34.031
"fruits, fresh or frozen","Guatemala","2018","november",97.092
"fruits, fresh or frozen","Peru","2018","november",93.855
"fruits, fresh or frozen","Costa Rica","2018","november",68.187
"fruits, fresh or frozen","Ecuador","2018","november",46.123
"fruits, fresh or frozen","Canada","2018","november",27.689
"fruits, fresh or frozen","Honduras","2018","november",24.608
"fruits, fresh or frozen","Colombia","2018","november",16.346
"fruits, fresh or frozen","New Zealand","2018","november",3.144
"fruits, fresh or frozen","World","2018","november",958.145
"fruits, fresh or frozen","Mexico","2018","december",485.483
"fruits, fresh or frozen","Chile","2018","december",126.364
"fruits, fresh or frozen","Guatemala","2018","december",112.132
"fruits, fresh or frozen","Peru","2018","december",123.645
"fruits, fresh or frozen","Costa Rica","2018","december",70.937
"fruits, fresh or frozen","Ecuador","2018","december",47.93
"fruits, fresh or frozen","Canada","2018","december",16.02
"fruits, fresh or frozen","Honduras","2018","december",21.67
"fruits, fresh or frozen","Colombia","2018","december",15.935
"fruits, fresh or frozen","Argentina","2018","december",19.317
"fruits, fresh or frozen","World","2018","december",1100.447
"fruits, prepared or preserved","Mexico","2018","january",57.51
"fruits, prepared or preserved","China","2018","january",51.81
"fruits, prepared or preserved","Thailand","2018","january",33.27
"fruits, prepared or preserved","Canada","2018","january",18.927
"fruits, prepared or preserved","European Union-28 3/","2018","january",16.752
"fruits, prepared or preserved","Philippines","2018","january",12.091
"fruits, prepared or preserved","Turkey","2018","january",13.033
"fruits, prepared or preserved","Chile","2018","january",10.067
"fruits, prepared or preserved","South Korea","2018","january",8.788
"fruits, prepared or preserved","Ecuador","2018","january",5.334
"fruits, prepared or preserved","World","2018","january",274.445
"fruits, prepared or preserved","Mexico","2018","february",50.703
"fruits, prepared or preserved","China","2018","february",46.06
"fruits, prepared or preserved","Thailand","2018","february",23.774
"fruits, prepared or preserved","Canada","2018","february",20.64
"fruits, prepared or preserved","European Union-28 3/","2018","february",16.394
"fruits, prepared or preserved","Philippines","2018","february",9.066
"fruits, prepared or preserved","Turkey","2018","february",10.508
"fruits, prepared or preserved","Chile","2018","february",5.846
"fruits, prepared or preserved","South Korea","2018","february",7.903
"fruits, prepared or preserved","Ecuador","2018","february",7.146
"fruits, prepared or preserved","World","2018","february",241.72
"fruits, prepared or preserved","Mexico","2018","march",53.777
"fruits, prepared or preserved","China","2018","march",47.445
"fruits, prepared or preserved","Thailand","2018","march",25.603
"fruits, prepared or preserved","Canada","2018","march",21.141
"fruits, prepared or preserved","European Union-28 3/","2018","march",19.832
"fruits, prepared or preserved","Philippines","2018","march",10.948
"fruits, prepared or preserved","Turkey","2018","march",8.279
"fruits, prepared or preserved","South Korea","2018","march",9.69
"fruits, prepared or preserved","Chile","2018","march",7.048
"fruits, prepared or preserved","Ecuador","2018","march",9.154
"fruits, prepared or preserved","World","2018","march",261.211
"fruits, prepared or preserved","Mexico","2018","april",54.612
"fruits, prepared or preserved","China","2018","april",43.478
"fruits, prepared or preserved","Thailand","2018","april",29.522
"fruits, prepared or preserved","Canada","2018","april",22.378
"fruits, prepared or preserved","European Union-28 3/","2018","april",21.124
"fruits, prepared or preserved","Philippines","2018","april",12.374
"fruits, prepared or preserved","Turkey","2018","april",8.134
"fruits, prepared or preserved","South Korea","2018","april",8.92
"fruits, prepared or preserved","Chile","2018","april",8.035
"fruits, prepared or preserved","Ecuador","2018","april",8.405
"fruits, prepared or preserved","World","2018","april",267.57
"fruits, prepared or preserved","Mexico","2018","may",55.427
"fruits, prepared or preserved","China","2018","may",53.439
"fruits, prepared or preserved","Thailand","2018","may",25.174
"fruits, prepared or preserved","Canada","2018","may",20.211
"fruits, prepared or preserved","European Union-28 3/","2018","may",21.37
"fruits, prepared or preserved","Philippines","2018","may",21.098
"fruits, prepared or preserved","Turkey","2018","may",9.145
"fruits, prepared or preserved","South Korea","2018","may",9.487
"fruits, prepared or preserved","Chile","2018","may",8.651
"fruits, prepared or preserved","Ecuador","2018","may",9.371
"fruits, prepared or preserved","World","2018","may",287.729
"fruits, prepared or preserved","Mexico","2018","june",49.726
"fruits, prepared or preserved","China","2018","june",52.374
"fruits, prepared or preserved","Thailand","2018","june",25.33
"fruits, prepared or preserved","Canada","2018","june",20.083
"fruits, prepared or preserved","European Union-28 3/","2018","june",20.178
"fruits, prepared or preserved","Philippines","2018","june",14.8
"fruits, prepared or preserved","Turkey","2018","june",9.818
"fruits, prepared or preserved","Chile","2018","june",11.453
"fruits, prepared or preserved","South Korea","2018","june",8.261
"fruits, prepared or preserved","Ecuador","2018","june",6.595
"fruits, prepared or preserved","World","2018","june",272.794
"fruits, prepared or preserved","Mexico","2018","july",52.54
"fruits, prepared or preserved","China","2018","july",47.09
"fruits, prepared or preserved","Thailand","2018","july",42.138
"fruits, prepared or preserved","Canada","2018","july",21.819
"fruits, prepared or preserved","European Union-28 3/","2018","july",23.746
"fruits, prepared or preserved","Philippines","2018","july",14.178
"fruits, prepared or preserved","Turkey","2018","july",5.441
"fruits, prepared or preserved","Chile","2018","july",12.514
"fruits, prepared or preserved","South Korea","2018","july",8.197
"fruits, prepared or preserved","Ecuador","2018","july",6.401
"fruits, prepared or preserved","World","2018","july",294.298
"fruits, prepared or preserved","Mexico","2018","august",57.98
"fruits, prepared or preserved","China","2018","august",45.126
"fruits, prepared or preserved","Thailand","2018","august",31.868
"fruits, prepared or preserved","Canada","2018","august",20.43
"fruits, prepared or preserved","European Union-28 3/","2018","august",21.101
"fruits, prepared or preserved","Philippines","2018","august",12.998
"fruits, prepared or preserved","Chile","2018","august",16.924
"fruits, prepared or preserved","Turkey","2018","august",5.813
"fruits, prepared or preserved","South Korea","2018","august",6.959
"fruits, prepared or preserved","Ecuador","2018","august",7.139
"fruits, prepared or preserved","World","2018","august",288.92
"fruits, prepared or preserved","Mexico","2018","september",53.296
"fruits, prepared or preserved","China","2018","september",45.77
"fruits, prepared or preserved","Thailand","2018","september",30.692
"fruits, prepared or preserved","Canada","2018","september",22.409
"fruits, prepared or preserved","European Union-28 3/","2018","september",16.125
"fruits, prepared or preserved","Philippines","2018","september",12.392
"fruits, prepared or preserved","Chile","2018","september",13.592
"fruits, prepared or preserved","Turkey","2018","september",4.779
"fruits, prepared or preserved","South Korea","2018","september",8.055
"fruits, prepared or preserved","Ecuador","2018","september",5.735
"fruits, prepared or preserved","World","2018","september",264.907
"fruits, prepared or preserved","Mexico","2018","october",60.906
"fruits, prepared or preserved","China","2018","october",43.055
"fruits, prepared or preserved","Thailand","2018","october",31.932
"fruits, prepared or preserved","Canada","2018","october",22.81
"fruits, prepared or preserved","European Union-28 3/","2018","october",21.577
"fruits, prepared or preserved","Philippines","2018","october",12.849
"fruits, prepared or preserved","Chile","2018","october",14.656
"fruits, prepared or preserved","South Korea","2018","october",8.292
"fruits, prepared or preserved","Turkey","2018","october",9.058
"fruits, prepared or preserved","Ecuador","2018","october",6.413
"fruits, prepared or preserved","World","2018","october",287.019
"fruits, prepared or preserved","Mexico","2018","november",50.582
"fruits, prepared or preserved","China","2018","november",49.611
"fruits, prepared or preserved","Thailand","2018","november",23.205
"fruits, prepared or preserved","Canada","2018","november",20.907
"fruits, prepared or preserved","European Union-28 3/","2018","november",18.633
"fruits, prepared or preserved","Philippines","2018","november",10.952
"fruits, prepared or preserved","Chile","2018","november",15.016
"fruits, prepared or preserved","South Korea","2018","november",9.558
"fruits, prepared or preserved","Turkey","2018","november",8.244
"fruits, prepared or preserved","Ecuador","2018","november",6.284
"fruits, prepared or preserved","World","2018","november",265.296
"fruits, prepared or preserved","Mexico","2018","december",50.582
"fruits, prepared or preserved","China","2018","december",49.611
"fruits, prepared or preserved","Thailand","2018","december",23.205
"fruits, prepared or preserved","Canada","2018","december",20.907
"fruits, prepared or preserved","European Union-28 3/","2018","december",18.633
"fruits, prepared or preserved","Philippines","2018","december",10.952
"fruits, prepared or preserved","Chile","2018","december",15.016
"fruits, prepared or preserved","South Korea","2018","december",9.558
"fruits, prepared or preserved","Turkey","2018","december",8.244
"fruits, prepared or preserved","Ecuador","2018","december",6.284
"fruits, prepared or preserved","World","2018","december",265.296
"vegetables, fresh or frozen","Mexico","2018","january",50.939
"vegetables, fresh or frozen","Canada","2018","january",87.741
"vegetables, fresh or frozen","Peru","2018","january",2.973
"vegetables, fresh or frozen","European Union-28 3/","2018","january",19.296
"vegetables, fresh or frozen","China","2018","january",9.796
"vegetables, fresh or frozen","Guatemala","2018","january",3.916
"vegetables, fresh or frozen","Costa Rica","2018","january",2.172
"vegetables, fresh or frozen","Honduras","2018","january",1.354
"vegetables, fresh or frozen","Dominican Republic","2018","january",0.192
"vegetables, fresh or frozen","Ecuador","2018","january",3.293
"vegetables, fresh or frozen","World","2018","january",191.566
"vegetables, fresh or frozen","Mexico","2018","february",713.204
"vegetables, fresh or frozen","Canada","2018","february",138.71
"vegetables, fresh or frozen","Peru","2018","february",7.949
"vegetables, fresh or frozen","European Union-28 3/","2018","february",25.955
"vegetables, fresh or frozen","China","2018","february",18.133
"vegetables, fresh or frozen","Guatemala","2018","february",20.258
"vegetables, fresh or frozen","Costa Rica","2018","february",9.48
"vegetables, fresh or frozen","Ecuador","2018","february",5.656
"vegetables, fresh or frozen","Honduras","2018","february",7.604
"vegetables, fresh or frozen","Dominican Republic","2018","february",4.026
"vegetables, fresh or frozen","World","2018","february",971.541
"vegetables, fresh or frozen","Mexico","2018","march",767.573
"vegetables, fresh or frozen","Canada","2018","march",178.631
"vegetables, fresh or frozen","Peru","2018","march",9.397
"vegetables, fresh or frozen","European Union-28 3/","2018","march",24.141
"vegetables, fresh or frozen","China","2018","march",17.003
"vegetables, fresh or frozen","Guatemala","2018","march",25.581
"vegetables, fresh or frozen","Costa Rica","2018","march",8.447
"vegetables, fresh or frozen","Honduras","2018","march",7.553
"vegetables, fresh or frozen","Ecuador","2018","march",5.431
"vegetables, fresh or frozen","Dominican Republic","2018","march",3.844
"vegetables, fresh or frozen","World","2018","march",1070.853
"vegetables, fresh or frozen","Mexico","2018","april",585.544
"vegetables, fresh or frozen","Canada","2018","april",204.356
"vegetables, fresh or frozen","Peru","2018","april",14.606
"vegetables, fresh or frozen","European Union-28 3/","2018","april",29.932
"vegetables, fresh or frozen","China","2018","april",19.271
"vegetables, fresh or frozen","Guatemala","2018","april",19.005
"vegetables, fresh or frozen","Costa Rica","2018","april",6.63
"vegetables, fresh or frozen","Honduras","2018","april",5.15
"vegetables, fresh or frozen","Ecuador","2018","april",4.341
"vegetables, fresh or frozen","Dominican Republic","2018","april",4.219
"vegetables, fresh or frozen","World","2018","april",912.925
"vegetables, fresh or frozen","Mexico","2018","may",509.689
"vegetables, fresh or frozen","Canada","2018","may",237.673
"vegetables, fresh or frozen","Peru","2018","may",23.09
"vegetables, fresh or frozen","European Union-28 3/","2018","may",30.225
"vegetables, fresh or frozen","China","2018","may",20.439
"vegetables, fresh or frozen","Guatemala","2018","may",16.704
"vegetables, fresh or frozen","Costa Rica","2018","may",6.931
"vegetables, fresh or frozen","Honduras","2018","may",4.997
"vegetables, fresh or frozen","Ecuador","2018","may",5.253
"vegetables, fresh or frozen","Dominican Republic","2018","may",4.3
"vegetables, fresh or frozen","World","2018","may",878.667
"vegetables, fresh or frozen","Mexico","2018","june",382.831
"vegetables, fresh or frozen","Canada","2018","june",253.145
"vegetables, fresh or frozen","European Union-28 3/","2018","june",33.504
"vegetables, fresh or frozen","Peru","2018","june",17.439
"vegetables, fresh or frozen","China","2018","june",18.132
"vegetables, fresh or frozen","Guatemala","2018","june",11.978
"vegetables, fresh or frozen","Costa Rica","2018","june",7.202
"vegetables, fresh or frozen","Honduras","2018","june",4.81
"vegetables, fresh or frozen","Ecuador","2018","june",5.642
"vegetables, fresh or frozen","Dominican Republic","2018","june",4.33
"vegetables, fresh or frozen","World","2018","june",757.139
"vegetables, fresh or frozen","Mexico","2018","july",325.632
"vegetables, fresh or frozen","Canada","2018","july",274.263
"vegetables, fresh or frozen","European Union-28 3/","2018","july",41.775
"vegetables, fresh or frozen","Peru","2018","july",21.403
"vegetables, fresh or frozen","China","2018","july",17.846
"vegetables, fresh or frozen","Guatemala","2018","july",14.816
"vegetables, fresh or frozen","Costa Rica","2018","july",7.095
"vegetables, fresh or frozen","Honduras","2018","july",4.679
"vegetables, fresh or frozen","Ecuador","2018","july",4.886
"vegetables, fresh or frozen","Dominican Republic","2018","july",3.815
"vegetables, fresh or frozen","World","2018","july",735.597
"vegetables, fresh or frozen","Mexico","2018","august",314.61
"vegetables, fresh or frozen","Canada","2018","august",281.843
"vegetables, fresh or frozen","European Union-28 3/","2018","august",33.837
"vegetables, fresh or frozen","Peru","2018","august",31.556
"vegetables, fresh or frozen","China","2018","august",18.698
"vegetables, fresh or frozen","Guatemala","2018","august",17.869
"vegetables, fresh or frozen","Costa Rica","2018","august",8.349
"vegetables, fresh or frozen","Honduras","2018","august",4.725
"vegetables, fresh or frozen","Ecuador","2018","august",5.751
"vegetables, fresh or frozen","Dominican Republic","2018","august",3.416
"vegetables, fresh or frozen","World","2018","august",739.529
"vegetables, fresh or frozen","Mexico","2018","september",313.929
"vegetables, fresh or frozen","Canada","2018","september",265.534
"vegetables, fresh or frozen","European Union-28 3/","2018","september",33.629
"vegetables, fresh or frozen","Peru","2018","september",39.958
"vegetables, fresh or frozen","China","2018","september",17.702
"vegetables, fresh or frozen","Guatemala","2018","september",15.271
"vegetables, fresh or frozen","Costa Rica","2018","september",6.942
"vegetables, fresh or frozen","Ecuador","2018","september",5.891
"vegetables, fresh or frozen","Honduras","2018","september",3.635
"vegetables, fresh or frozen","Dominican Republic","2018","september",2.991
"vegetables, fresh or frozen","World","2018","september",722.494
"vegetables, fresh or frozen","Mexico","2018","october",460.995
"vegetables, fresh or frozen","Canada","2018","october",247.814
"vegetables, fresh or frozen","European Union-28 3/","2018","october",39.608
"vegetables, fresh or frozen","Peru","2018","october",45.062
"vegetables, fresh or frozen","China","2018","october",17.707
"vegetables, fresh or frozen","Guatemala","2018","october",17.193
"vegetables, fresh or frozen","Costa Rica","2018","october",11.608
"vegetables, fresh or frozen","Ecuador","2018","october",6.921
"vegetables, fresh or frozen","Honduras","2018","october",3.813
"vegetables, fresh or frozen","Dominican Republic","2018","october",4.206
"vegetables, fresh or frozen","World","2018","october",874.789
