"product_type","year","month","export_value"
"Vegetable oils","2018","august",241.148
"Vegetable oils","2018","september",198.409
"Vegetable oils","2018","october",204.781
"Vegetable oils","2018","november",246.457
"Vegetable oils","2018","december",205.27
"Fruits & products","2018","january",432.932
"Fruits & products","2018","february",485.247
"Fruits & products","2018","march",532.124
"Fruits & products","2018","april",472.185
"Fruits & products","2018","may",547.417
"Fruits & products","2018","june",653.135
"Fruits & products","2018","july",671.308
"Fruits & products","2018","august",505.331
"Fruits & products","2018","september",501.129
"Fruits & products","2018","october",529.199
"Fruits & products","2018","november",551.207
"Fruits & products","2018","december",416.131
"Fruits, fresh","2018","january",307.216
"Fruits, fresh","2018","february",352.385
"Fruits, fresh","2018","march",380.971
"Fruits, fresh","2018","april",326.986
"Fruits, fresh","2018","may",399.244
"Fruits, fresh","2018","june",507.868
"Fruits, fresh","2018","july",539.055
"Fruits, fresh","2018","august",374.986
"Fruits, fresh","2018","september",370.257
"Fruits, fresh","2018","october",389.209
"Fruits, fresh","2018","november",412.853
"Fruits, fresh","2018","december",285.459
"Fruits, prepared or preserved","2018","january",125.716
"Fruits, prepared or preserved","2018","february",132.861
"Fruits, prepared or preserved","2018","march",151.153
"Fruits, prepared or preserved","2018","april",145.2
"Fruits, prepared or preserved","2018","may",148.173
"Fruits, prepared or preserved","2018","june",145.268
"Fruits, prepared or preserved","2018","july",132.253
"Fruits, prepared or preserved","2018","august",130.345
"Fruits, prepared or preserved","2018","september",130.872
"Fruits, prepared or preserved","2018","october",139.989
"Fruits, prepared or preserved","2018","november",138.355
"Fruits, prepared or preserved","2018","december",130.671
"Fruit juices","2018","january",70.923
"Fruit juices","2018","february",71.314
"Fruit juices","2018","march",87.952
"Fruit juices","2018","april",79.502
"Fruit juices","2018","may",77.875
"Fruit juices","2018","june",82.228
"Fruit juices","2018","july",71.624
"Fruit juices","2018","august",69.138
"Fruit juices","2018","september",73.5
"Fruit juices","2018","october",69.952
"Fruit juices","2018","november",72.022
"Fruit juices","2018","december",66.512
"Vegetables & products","2018","january",546.965
"Vegetables & products","2018","february",531.868
"Vegetables & products","2018","march",614.506
"Vegetables & products","2018","april",605.706
"Vegetables & products","2018","may",645.805
"Vegetables & products","2018","june",617.122
"Vegetables & products","2018","july",543.193
"Vegetables & products","2018","august",526.271
"Vegetables & products","2018","september",521.558
"Vegetables & products","2018","october",563.567
"Vegetables & products","2018","november",593.915
"Vegetables & products","2018","december",611.842
"Vegetables, fresh","2018","january",211.208
"Vegetables, fresh","2018","february",196.932
"Vegetables, fresh","2018","march",238.41
"Vegetables, fresh","2018","april",222.825
"Vegetables, fresh","2018","may",255.968
"Vegetables, fresh","2018","june",234.509
"Vegetables, fresh","2018","july",196.122
"Vegetables, fresh","2018","august",174.993
"Vegetables, fresh","2018","september",177.195
"Vegetables, fresh","2018","october",198.472
"Vegetables, fresh","2018","november",223.341
"Vegetables, fresh","2018","december",248.751
"Vegetables, prepared or preserved","2018","january",335.756
"Vegetables, prepared or preserved","2018","february",334.934
"Vegetables, prepared or preserved","2018","march",376.096
"Vegetables, prepared or preserved","2018","april",382.881
"Vegetables, prepared or preserved","2018","may",389.838
"Vegetables, prepared or preserved","2018","june",382.612
"Vegetables, prepared or preserved","2018","july",347.071
"Vegetables, prepared or preserved","2018","august",351.278
"Vegetables, prepared or preserved","2018","september",344.363
"Vegetables, prepared or preserved","2018","october",365.094
"Vegetables, prepared or preserved","2018","november",370.574
"Vegetables, prepared or preserved","2018","december",363.09
"Tree nuts & preparations","2018","january",715.757
"Tree nuts & preparations","2018","february",805.074
"Tree nuts & preparations","2018","march",862.297
"Tree nuts & preparations","2018","april",709.72
"Tree nuts & preparations","2018","may",601.816
"Tree nuts & preparations","2018","june",588.631
"Tree nuts & preparations","2018","july",545.939
"Tree nuts & preparations","2018","august",510.587
"Tree nuts & preparations","2018","september",616.582
"Tree nuts & preparations","2018","october",998.377
"Tree nuts & preparations","2018","november",1247.067
"Tree nuts & preparations","2018","december",964.215
"Wine","2018","january",91.261
"Wine","2018","february",118.69
"Wine","2018","march",116.8
"Wine","2018","april",121.382
"Wine","2018","may",114.646
"Wine","2018","june",115.509
"Wine","2018","july",160.252
"Wine","2018","august",113.239
"Wine","2018","september",101.828
"Wine","2018","october",122.576
"Wine","2018","november",112.213
"Wine","2018","december",110.885
"Cotton & linters","2018","january",635.154
"Cotton & linters","2018","february",788.375
"Cotton & linters","2018","march",906.864
"Cotton & linters","2018","april",859.314
"Cotton & linters","2018","may",789.31
"Cotton & linters","2018","june",577.638
"Cotton & linters","2018","july",445.978
"Cotton & linters","2018","august",335.93
"Cotton & linters","2018","september",295.404
"Cotton & linters","2018","october",245.953
"Cotton & linters","2018","november",284.494
"Cotton & linters","2018","december",409.755
"Tobacco, unmanufactured","2018","january",57.221
"Tobacco, unmanufactured","2018","february",97.957
"Tobacco, unmanufactured","2018","march",213.797
"Tobacco, unmanufactured","2018","april",115.384
"Tobacco, unmanufactured","2018","may",62.516
"Tobacco, unmanufactured","2018","june",123.559
"Tobacco, unmanufactured","2018","july",94.416
"Tobacco, unmanufactured","2018","august",65.483
"Tobacco, unmanufactured","2018","september",55.407
"Tobacco, unmanufactured","2018","october",70.152
"Tobacco, unmanufactured","2018","november",37.029
"Tobacco, unmanufactured","2018","december",60.745
"Sugar & tropical products","2018","january",379.296
"Sugar & tropical products","2018","february",376.812
"Sugar & tropical products","2018","march",420.086
"Sugar & tropical products","2018","april",410.615
"Sugar & tropical products","2018","may",440.761
"Sugar & tropical products","2018","june",436.837
"Sugar & tropical products","2018","july",408.559
"Sugar & tropical products","2018","august",446.542
"Sugar & tropical products","2018","september",425.188
"Sugar & tropical products","2018","october",450.132
"Sugar & tropical products","2018","november",434.501
"Sugar & tropical products","2018","december",381.985
